rank,image_path,name,category,origin,medium
85,img/3_earlobe/FS-7757_22.png,Head of the Buddha,earlobe,"Java, Indonesia",Volcanic stone
86,img/3_earlobe/FS-2805_25h.png,Head of Buddha,earlobe,Pakistan or Afghanistan,Schist
87,img/3_earlobe/FS-5543_06.png,Head from a figure of the Buddha,earlobe,China,Bronze
88,img/3_earlobe/FS-5552_05.png,Head of the Buddha,earlobe,"Borobudur, Indonesia",Volcanic stone (andesite)
89,img/3_earlobe/FS-5600_12.png,Sitatapatra (Sitatapatrosnisa ?) and thirty other divinities,earlobe,Tibet,Color and gold on canvas
90,img/3_earlobe/FS-5601_03.png,"Sakyamuni, saints, and divinities",earlobe,Tibet,Color on canvas
91,img/3_earlobe/FS-5609_05.png,Amitabha rising above the hills,earlobe,Japan,Color and gold on silk panel
92,img/3_earlobe/FS-5610_10.png,Amitabha (Amida) welcoming souls to paradise,earlobe,Japan,Color and gold on silk
93,img/3_earlobe/FS-6066_22.png,Buddha Sheltered by Naga,earlobe,Cambodia,Stone
94,img/3_earlobe/FS-6201_17.png,Head of a Buddha,earlobe,"Probably Longmen Grottos, Henan province, China",Stone
95,img/3_earlobe/FS-6333_11.png,Gautama buddha shrine,earlobe,Tibet,Terracotta with gold lacquer and paint
96,img/3_earlobe/FS-6404_01.png,Head of a Buddha,earlobe,Thailand,Bronze with traces of gilding
97,img/3_earlobe/FS-6404_02.png,Head of a Buddha,earlobe,Thailand,Bronze with glass and mother-of-pearl
98,img/3_earlobe/FS-6404_03.png,Head of a Buddha,earlobe,Thailand,Bronze
99,img/3_earlobe/FS-6404_04.png,Head of a Buddha,earlobe,Thailand,Bronze
100,img/3_earlobe/FS-6446_03.png,Head of the Buddha,earlobe,Pakistan or Afghanistan,Schist with traces of gold leaf
101,img/3_earlobe/FS-6644_01.png,Head of the Buddha,earlobe,"Lamphun, Chiang Mai province, Thailand",Stucco
102,img/3_earlobe/FS-6690_09.png,Head of the Buddha (usnisa cut off),earlobe,Thailand,Stone
103,img/3_earlobe/FS-6691_05.png,Head of the Buddha,earlobe,"Possibly Nakhon Pathom or Khu Bua, Thailand",Stucco
104,img/3_earlobe/FS-6852_02.png,Head of a Buddha,earlobe,"northern Xiangtangshan, South Cave, Hebei province, China",Limestone with traces of pigment and gilding
105,img/3_earlobe/FS-6907_04.png,Vairochana Buddha,earlobe,China,Bronze and gilt
106,img/3_earlobe/FS-7259_01.png,Dehua ware image of seated Buddha,earlobe,"Dehua kilns, Fujian province, China",Glazed clay
107,img/3_earlobe/FS-7259_34.png,Fragment of a statuette of Sakyamuni,earlobe,China,Bronze
108,img/3_earlobe/FS-7259_35.png,Fragment of a statuette of Buddha,earlobe,China,Bronze
109,img/3_earlobe/FS-7607_13.png,Stone screen with relief of Buddha entering Nirvana,earlobe,China,Stone
110,img/3_earlobe/FS-7669_08.png,Head from a figure of the Buddha,earlobe,China,Sandstone
111,img/3_earlobe/FS-7747_24.png,Head of Buddha,earlobe,Korea,Bronze
112,img/3_earlobe/FS-7755_24.png,"Seated Buddha with bodhisattvas, lions, and figures",earlobe,China,Stone
113,img/3_earlobe/FS-7755_33.png,Head of Buddha (Shakyamuni),earlobe,China,Stone
114,img/3_earlobe/FS-7755_40.png,Head of Buddha (Shakyamuni),earlobe,China,Stone
115,img/3_earlobe/FS-7755_44.png,Seated Buddha with a standing monk,earlobe,China,Stone
116,img/3_earlobe/FS-7756_28.png,Head of Buddha,earlobe,China,Stone
117,img/3_earlobe/FS-7756_38.png,Seated figure of Buddha,earlobe,China,Marble with traces of pigment
118,img/3_earlobe/FS-7795_28.png,Head from a figure of the Buddha,earlobe,China,Bronze
119,img/3_earlobe/FS-7846_34.png,Head of the Buddha,earlobe,China,Stone
120,img/3_earlobe/FS-7847_34.png,Buddha,earlobe,China,Stone
121,img/3_earlobe/FS-7848_58.png,Head from a figure of the Buddha,earlobe,China,Clay with pigment and gilding
122,img/3_earlobe/FS-7995_03.png,The Buddha Maitreya (Mile),earlobe,China,Stone
123,img/3_earlobe/FS-7996_05.png,Standing Buddha,earlobe,Japan,"Wood, gold leaf, lacquer and textile"
124,img/3_earlobe/FS-8535_43.png,"Buddhist tablet: seated central figure flanked by monk and Bodhisattva on either hand; rectangular base, and figure of Buddha in sunken relief on reverse",earlobe,China,Stone
125,img/3_earlobe/FS-F1906.269_001-000002.png,Buddha Amitabha (Amita) and the Eight Great Bodhisattvas,earlobe,Korea,"Ink, color, and gold on silk"
126,img/3_earlobe/FS-F1911.475_001.png,Welcoming Descent of the Buddha of Infinite Light and Twenty-Five Bodhisattvas,earlobe,Japan,"Ink, gold, and color on silk"
