rank,image_path,name,category,origin,medium
329,img/6_animals/deer/FS-7472_01.png,Kasuga Mandala,deer,x,"Ink, color and gold on silk"
330,img/6_animals/deer/FS-7479_19.png,Luohans and animals crossing the sea,deer,x,Ink on paper
331,img/6_animals/deer/FS-7601_30.png,Chakra (wheel of Dharma) with attending pair of deer,deer,x,Gilded metal
332,img/6_animals/elephant/FS-5451_04.png,Fugen,elephant,x,Ink and color on silk
333,img/6_animals/elephant/FS-5601_04.png,The Vision of Khas-grub-dje with Tsonk'a-pa appearing to him on an elephant,elephant,x,Opaque watercolor on cloth
334,img/6_animals/elephant/FS-5609_06.png,Sakyamuni on an Elephant,elephant,x,Ink and color on silk
335,img/6_animals/elephant/FS-5627_05.png,Samantabhadra (Fugen),elephant,x,Ink and color on paper
336,img/6_animals/elephant/FS-5676_13.png,The Bodhisattva Puxian (Samantabhadra),elephant,x,Ink and color on silk
337,img/6_animals/elephant/FS-6314_08.png,Pair of Manuscript Covers,elephant,x,unknown
338,img/6_animals/elephant/FS-6333_11.png,Gautama buddha shrine,elephant,Tibet,Terracotta with gold lacquer and paint
339,img/6_animals/elephant/FS-6408_01.png,"Mitate-e of Courtesan Eguchi, parodying Fugen Bosatsu, seated astride an elephant",elephant,x,Ink and color on paper
340,img/6_animals/elephant/FS-6852_01.png,Preparatory sketch for The Courtesan Eguchi as the Bodhisattva Fugen and the Monk Saigyo,elephant,Japan,Ink on paper
341,img/6_animals/elephant/FS-6880_06.png,Fugen Bosatsu seated on an elephant,elephant,Japan,Ink on paper
342,img/6_animals/elephant/FS-7259_07.png,Figure of Puxian (Samantabhadra),elephant,x,Stoneware with Jun-style glaze
343,img/6_animals/elephant/FS-7271_11.png,Washing the elephant,elephant,x,Ink and color on silk
344,img/6_animals/elephant/FS-7855_06.png,Bodhisattva,elephant,China,Gilt bronze
345,img/6_animals/elephant/FS-8380_01.png,Historical Buddha Shakyamuni with the bodhisattvas Fugen (Samantabhadra) and Monju (Manjushri),elephant,Japan,Color and gold on silk
346,img/6_animals/horse/FS-6448_09.png,Saptadashashirshi Shri Devi,horse,"Densatil Monastery, Central Tibet","Gilt-copper alloy, color, and semi-precious stones"
