rank,image_path,name,category,origin,medium
127,img/4_mudras/FS-2814_22h.png,Buddha,abhaya,Bangladesh,Copper alloy
128,img/4_mudras/FS-4044_17h.png,Standing Vishnu,abhaya,"Tamil Nadu state, India",Granite
129,img/4_mudras/FS-5111_10.png,Buddhas and Bodhisattvas,anjali,unknown,Ink and color on paper
130,img/4_mudras/FS-5168_07.png,Horokaku Mandara: The Buddha and attendant divinities,undefined,Japan,Color and gold on silk panel
131,img/4_mudras/FS-5368_07_abhaya.png,Buddhist stele,abhaya,"Henan,China",Limestone
132,img/4_mudras/FS-5368_07_varada.png,Buddhist stele,varada,"Henan,China",Limestone
133,img/4_mudras/FS-5600_06.png,Sakyamuni enthroned; and biographical scenes,bhumisparsha,"Tibet,China",Opaque watercolor on cloth
134,img/4_mudras/FS-5600_07.png,Lamaist mandala,anjali,"Tibet,China",Color and gold on canvas
135,img/4_mudras/FS-5600_11.png,Lamaist saint—divinities and other saints,vitarka,"Tibet,China",Color on canvas
136,img/4_mudras/FS-5600_12.png,Sitatapatra (Sitatapatrosnisa ?) and thirty other divinities,dhyana,"Tibet,China",Color and gold on canvas
137,img/4_mudras/FS-5601_03.png,"Sakyamuni, saints, and divinities",bhumisparsha,"Tibet,China",Color on canvas
138,img/4_mudras/FS-5601_04.png,The Vision of Khas-grub-dje with Tsonk'a-pa appearing to him on an elephant,dharmachakra,"Tibet,China",Opaque watercolor on cloth
139,img/4_mudras/FS-5610_10.png,Amitabha (Amida) welcoming souls to paradise,vitarka,Japan,Color and gold on silk
140,img/4_mudras/FS-5615_08_abhaya.png,The Eight Medicine Buddhas,abhaya,"Tibet,China",Opaque watercolor and gold on canvas
141,img/4_mudras/FS-5615_08_varada.png,The Eight Medicine Buddhas,varada,"Tibet,China",Opaque watercolor and gold on canvas
142,img/4_mudras/FS-5619_05.png,"Panthaka, the 10th of the 16 Arhats",anjali,Japan,Ink and tint on paper
143,img/4_mudras/FS-5621_02.png,"The Celestial Worthy Taiyi, Who Delivers from Suffering",vitarka,China,Ink and color on silk
144,img/4_mudras/FS-5623_07.png,Star Mandala,dhyana,Japan,Color and gold on silk
145,img/4_mudras/FS-5706_05.png,Dhyani Buddha,dhyana,China,Ink and color on paper
146,img/4_mudras/FS-5719_03.png,Dhyana Buddha,dhyana,China,Color on paper panel
147,img/4_mudras/FS-5732_08.png,Tapestry: a Dhyani Buddha,dhyana,China,Color on silk panel
148,img/4_mudras/FS-5755_09.png,Tapestry: a Buddha - Amitabha - sitting in a cave,vitarka,China,Textile; color on silk panel
149,img/4_mudras/FS-5774_07.png,Tapestry: a Buddha Enthroned,dhyana,China,Color on silk panel
150,img/4_mudras/FS-5781_11.png,Tapestry: a Buddha and lotuses,dhyana,China,Hanging scroll; color on silk panel
151,img/4_mudras/FS-5828_03.png,One thousand Buddhas,undefined,Japan,"Ink, color and gold on silk"
152,img/4_mudras/FS-5901_07.png,Seated figure of Bodhisattva with Sino-Tibetan style: double lotus pedestal on rectangular base,vitarka,China,"marble, traces of pigment"
153,img/4_mudras/FS-5901_08.png,Bodhisattva Avalokiteshvara (Guanyin),vitarka,"Yunnan, China",Arsenical copper with gilding
154,img/4_mudras/FS-5944_08.png,Votive plaque (sacchas) with three Buddhas,bhumisparsha,Burma,Terracotta
155,img/4_mudras/FS-5944_09.png,Votive plaque (sacchas) with three Buddhas,bhumisparsha,Burma,Terracotta
156,img/4_mudras/FS-5951_01.png,Buddhas of the Past and Present,dhyana,China,"Bronze, gilt"
157,img/4_mudras/FS-5951_09.png,Bodhisattva Avalokiteshvara as the Water-Moon Guanyin,bhumisparsha,China,Marble
158,img/4_mudras/FS-5952_09.png,Buddhist stele,varada,China,Limestone
159,img/4_mudras/FS-5954_03.png,Buddhist stele,dhyana,China,Sandstone
160,img/4_mudras/FS-5991_10.png,Votive plaque (tsa-tsas) of Avalokiteshvara,anjali,"Tibet,China",Terracotta with pigment
161,img/4_mudras/FS-5991_11.png,Votive plaque (tsa-tsas) of Aksobkya,bhumisparsha,"Tibet,China",Terracotta with pigment
162,img/4_mudras/FS-6004_03.png,Buddhist stele with dual images of the bodhisattva Maitreya,anjali,"Hebei,China",Marble with traces of pigment
163,img/4_mudras/FS-6010_02.png,"Amitabha (Amida), contained within a closed shrine",varada,Japan,Wood
164,img/4_mudras/FS-6010_11.png,Buddhist sculpture,vitarka,Japan,Wood
165,img/4_mudras/FS-6126_08.png,"The Great Luohan, the Venerable Seventeenth",abhiseka,China,Ink and color on silk
166,img/4_mudras/FS-6151_01_varada.png,Buddhist altarpiece,varada,China,Bronze with gilding
167,img/4_mudras/FS-6151_01_abhaya.png,Buddhist altarpiece,abhaya,China,Bronze with gilding
168,img/4_mudras/FS-6333_09.png,Queen as the Goddess Prajnaparamita,prajnaparamita,Nepal,Gilt copper
169,img/4_mudras/FS-6404_05.png,The Buddha calling the earth to witness,bhumisparsha,Thailand,Ivory
170,img/4_mudras/FS-6405_02.png,The Buddha calling the earth to witness,bhumisparsha,Thailand,Ivory
171,img/4_mudras/FS-6405_04.png,The Buddha calling the earth to witness,bhumisparsha,Thailand,Ivory and gilding
172,img/4_mudras/FS-6405_06.png,The Buddha calling the earth to witness,bhumisparsha,Thailand,Ivory and gilding
173,img/4_mudras/FS-6424_06.png,Standing Buddha,abhaya,Thailand,Stone
174,img/4_mudras/FS-6553_05.png,Standing Buddha and tabernacle,abhaya,Thailand,Bronze
175,img/4_mudras/FS-6685_02.png,"Bodhisattva Avalokiteshvara (Guanyin), Head",bhumisparsha,China,Stone with traces of pigment and gilding
176,img/4_mudras/FS-6741_03.png,Sakyamuni Buddha seated on a lion throne,abhaya,China,Bronze
177,img/4_mudras/FS-6741_08.png,Buddha Mile (Maitreya),dhyana,China,Bronze and gilt
178,img/4_mudras/FS-6742_03.png,The Buddhas Duobao (Prabhutaratna) and Sakyamuni standing side-by-side,abhaya,China,Bronze
179,img/4_mudras/FS-6743_02.png,Four-sided miniature stele,abhaya,China,Marble with traces of red and black pigments.
180,img/4_mudras/FS-6743_06_abhaya.png,The Buddhas Prabhutaratna and Sakyamuni seated sided by side,abhaya,China,Gilt bronze
181,img/4_mudras/FS-6743_06_varada.png,The Buddhas Prabhutaratna and Sakyamuni seated sided by side,varada,China,Gilt bronze
182,img/4_mudras/FS-6743_08.png,Buddha Bhaisajyaguru (Yao shih fo),abhaya,China,Gilt bronze
183,img/4_mudras/FS-6907_04.png,Vairochana Buddha,vajra,China,Bronze and gilt
184,img/4_mudras/FS-6912_01.png,Seated Buddha,dhyana,Cambodia,Bronze
185,img/4_mudras/FS-7065_03.png,Seated Buddha with attendant figures and worshipper,abhaya,Pakistan,Schist
186,img/4_mudras/FS-7108_02.png,Prajnaparamita,dharmachakra,Bangladesh,Copper alloy
187,img/4_mudras/FS-7108_06.png,Buddha,abhaya,Bangladesh,Bronze
188,img/4_mudras/FS-7108_10.png,Tara,undefined,Bangladesh,Copper alloy
189,img/4_mudras/FS-7231_40.png,Image of seated Kannon,dhyana,Japan,"Ceramic, Sculpture"
190,img/4_mudras/FS-7259_01.png,Dehua ware image of seated Buddha,dhyana,"Fujian,China",Glazed clay
191,img/4_mudras/FS-7259_24.png,Bodhisattva Avalokiteshvara (Guanyin),dhyana,China,Stone
192,img/4_mudras/FS-7311_62.png,Bodhisattva,anjali,"Xinjiang, China",Stucco with pigment
193,img/4_mudras/FS-7319_14.png,"Amitabha Buddha (Amida), the Buddha of Infinite Light",abhaya,Japan,Gilt bronze
194,img/4_mudras/FS-7376_46.png,Panel from a temple hanging: recto: crowned god Balarama; verso: Vishnu,varada,India,"Opaque watercolor, gold, and paper applique on cotton"
195,img/4_mudras/FS-7402_22.png,Carving of Shakymuni Buddha as an ascetic,abhaya,China,Jade
196,img/4_mudras/FS-7413_34.png,"Seated Jina, probably Mahavira",abhaya,"Karnataka state, India",Bronze
197,img/4_mudras/FS-7423_11_abhaya.png,Stele with Buddhist triad,abhaya,China,Stone
198,img/4_mudras/FS-7423_11_anjali.png,Stele with Buddhist triad,anjali,China,Stone
199,img/4_mudras/FS-7423_11_varada.png,Stele with Buddhist triad,varada,China,Stone
200,img/4_mudras/FS-7423_26_abhaya.png,Buddhist Trinity,abhaya,China,Stone
201,img/4_mudras/FS-7423_26_varada.png,Buddhist Trinity,varada,China,Stone
202,img/4_mudras/FS-7423_30_abhaya.png,Buddhist tablet in the form of a miniature shrine,abhaya,China,Stone
203,img/4_mudras/FS-7423_30_anjali.png,Buddhist tablet in the form of a miniature shrine,anjali,China,Stone
204,img/4_mudras/FS-7456_06.png,The Buddha calling the earth to witness,bhumisparsha,Thailand,Ivory
205,img/4_mudras/FS-7475_38.png,Figure of a seated bodhisattva,dhyana,"Tibet,China",Brass with silver and copper inlay
