rank,image_path,name,category,origin,medium
304,img/5_lotus/FS-5601_03.png,"Sakyamuni, saints, and divinities",lotus,Tibet,Color on canvas
305,img/5_lotus/FS-5610_10.png,Amitabha (Amida) welcoming souls to paradise,lotus,Japan,Color and gold on silk
306,img/5_lotus/FS-5716_02.png,The bodhisattva Gokei Monju,lotus,Japan,Color and gold on silk panel
307,img/5_lotus/FS-5732_08.png,Tapestry: a Dhyani Buddha,lotus,China,Color on silk panel
308,img/5_lotus/FS-5781_11.png,Tapestry: a Buddha and lotuses,lotus,China,Hanging scroll; color on silk panel
309,img/5_lotus/FS-6201_04.png,Buddhist stele,lotus,"Likely from the Longmen grottoes, Luoyang, Henan province, China",Limestone with traces of pigment
310,img/5_lotus/FS-6314_12.png,Jambhala,lotus,"West, Tibet",Bronze with traces of pigment
311,img/5_lotus/FS-7444_07.png,"A Buddha, two lions, and four attendants",lotus,China,Ink and color on silk
312,img/5_lotus/FS-7512_07.png,Bodhisattva Avalokiteshvara (Guanyin),lotus,China,Bronze with gilding
313,img/5_lotus/FS-7734_11.png,Standing Buddha with bodhisattvas (on one side) and Seated bodhisattva (on other side),lotus,China,Stone with traces of pigment
314,img/5_lotus/FS-7754_35.png,Seated Buddha (Shakyamuni),lotus,China,Stone
315,img/5_lotus/FS-7755_26.png,Bodhisattva Avalokiteshvara (Guanyin),lotus,"probably Hebei province, China",Marble with ink and pigment
316,img/5_lotus/FS-7755_44.png,Seated Buddha with a standing monk,lotus,China,Stone
317,img/5_lotus/FS-7756_15.png,Standing Buddha (fragment),lotus,China,Marble
318,img/5_lotus/FS-7757_24.png,Buddhist stele (a) with an attached rubbing (b),lotus,China,Gray stone; ink on paper
319,img/5_lotus/FS-7847_55.png,Buddha and Bodhisattva,lotus,China,Stone
320,img/5_lotus/FS-7996_05.png,Standing Buddha,lotus,Japan,"Wood, gold leaf, lacquer and textile"
321,img/5_lotus/FS-8151_08.png,Tapestry: a Bodhisattva,lotus,China,Hanging scroll; color on silk panel
322,img/5_lotus/FS-8380_01.png,Historical Buddha Shakyamuni with the bodhisattvas Fugen (Samantabhadra) and Monju (Manjushri),lotus,Japan,Color and gold on silk
323,img/5_lotus/FS-8380_07.png,The Bodhisattva Fugen and Attendants,lotus,Japan,"Ink, color, and gold on silk"
324,img/5_lotus/FS-8535_53.png,Standing bodhisattva with attendants,lotus,China,Stone
325,img/5_lotus/FS-F1905.98_001.png,"Buddhist triad: Sakyamuni, Manjusri and Samantabhadra",lotus,Japan,Color and gold on silk
326,img/5_lotus/FS-F1921.1_001.png,Gathering of Buddhas and Bodhisattvas,lotus,"southern Xiangtangshan, Cave 2, Hebei province, China",Limestone with traces of pigment
327,img/5_lotus/FS-F1963.6_001.png,The Bodhisattva Fugen (Fugen Bosatsu),lotus,Japan,"Ink, color, gold, and silver on silk"
328,img/5_lotus/FS-rls_0910.png,Bodhisattva Avalokiteshvara (Guanyin),lotus,China,Bronze with gilding
